PLAYER,TEAM,Off ScreenFreq%,OffScreenPercentile
AJ Green,MIL,9.5,32.3
Aaron Holiday,HOU,5.3,95
Aaron Nesmith,IND,5.6,68.6
Aaron Wiggins,OKC,3.7,60.3
Al Horford,BOS,2.1,27.7
Alec Burks,MIA,4,98.2
Amir Coffey,LAC,2.6,55
Andrew Nembhard,IND,1.7,90.8
Andrew Wiggins,GSW,5,82.6
Andrew Wiggins,MIA,3.7,55
Anfernee Simons,POR,6,38.6
Anthony Black,ORL,1.4,0.9
Anthony Davis,LAL,3.2,23.6
Anthony Edwards,MIN,5.7,80.5
Antonio Reeves,NOP,6.1,75
Austin Reaves,LAL,6.2,76.4
Bam Adebayo,MIA,2.4,34.1
Baylor Scheierman,BOS,10.2,19.4
Ben Sheppard,IND,4.1,93.6
Bennedict Mathurin,IND,5.1,79.5
Bilal Coulibaly,WAS,1.8,43.6
Bogdan Bogdanović,ATL,11.3,30.9
Bogdan Bogdanović,LAC,5.9,6.4
Bradley Beal,PHX,4.8,47
Brandin Podziemski,GSW,3.5,75.5
Brandon Boston,NOP,3.6,83.2
Brandon Ingram,NOP,6.8,38.2
Brandon Miller,CHA,14.8,69.5
Brice Sensabaugh,UTA,7.9,34.5
Bruce Brown,TOR,6.7,39.9
Bub Carrington,WAS,1.8,65.3
Buddy Hield,GSW,18.9,57.7
CJ McCollum,NOP,9.7,61.4
Cade Cunningham,DET,1.3,86.2
Caleb Houstan,ORL,8.1,18.3
Cam Thomas,BKN,5.5,37
Cameron Johnson,BKN,10.2,80.9
Cameron Payne,NYK,2.5,19.4
Caris LeVert,ATL,6.5,36.1
Cason Wallace,OKC,2.3,19.4
Chet Holmgren,OKC,9.2,8.6
Coby White,CHI,3.2,59.1
Cody Martin,CHA,3.6,5.5
Cody Williams,UTA,6.9,21.6
Cole Anthony,ORL,1.7,28.9
Collin Sexton,UTA,4.1,15.5
Corey Kispert,WAS,13.3,39.9
DaQuan Jeffries,CHA,6.2,11.1
Dalton Knecht,LAL,10.5,17.3
Damian Lillard,MIL,3,87.3
Darius Garland,CLE,3.3,58.6
De'Aaron Fox,SAS,3.1,70.6
De'Aaron Fox,SAC,0.9,26.3
De'Andre Hunter,ATL,6.5,47
De'Andre Hunter,CLE,4.8,77.6
DeMar DeRozan,SAC,3.1,25.5
Dejounte Murray,NOP,2.2,11.1
Deni Avdija,POR,2.2,98.2
Dennis Schröder,GSW,3.8,55
Derrick White,BOS,4.9,96.8
Desmond Bane,MEM,5.5,92.7
Devin Booker,PHX,11.9,78.2
Devin Vassell,SAS,5.2,68.2
Dillon Brooks,HOU,3.3,65.3
Donovan Mitchell,CLE,1.9,44.1
Donte DiVincenzo,MIN,13.8,35.5
Duncan Robinson,MIA,12.1,48.6
Dyson Daniels,ATL,1.2,11.1
Eric Gordon,PHI,5.1,19.4
Evan Mobley,CLE,3.7,79.1
Franz Wagner,ORL,2.3,50.9
Fred VanVleet,HOU,2.7,25
Gabe Vincent,LAL,5.3,95.9
Garrison Mathews,ATL,10.4,39.9
Gary Harris,ORL,7.8,1.4
Gary Trent Jr.,MIL,4.6,40.9
Georges Niang,ATL,3.5,83.6
Gradey Dick,TOR,15.2,46.4
Grayson Allen,PHX,8.5,90.8
Harrison Barnes,SAS,1.6,96.4
Immanuel Quickley,TOR,5.6,84.5
Isaiah Joe,OKC,8,81.4
Ja Morant,MEM,1.7,73.4
Ja'Kobe Walter,TOR,5,77.6
Jabari Smith Jr.,HOU,4.1,94.5
Jaden Hardy,DAL,4.1,14.1
Jaden Ivey,DET,2.5,42.3
Jaden McDaniels,MIN,2.3,4.5
Jaime Jaquez Jr.,MIA,1.6,2.7
Jalen Brunson,NYK,3,48.2
Jalen Green,HOU,2.5,22.7
Jalen Smith,CHI,2.7,1.8
Jalen Suggs,ORL,3.3,2.3
Jalen Williams,OKC,2.8,73.4
Jalen Wilson,BKN,1.9,15
Jamal Murray,DEN,4.1,58.2
Jamal Shead,TOR,2.8,28.9
James Harden,LAC,0.5,26.3
Jamison Battle,TOR,11.3,71.4
Jared McCain,PHI,5.1,18.3
Jaren Jackson Jr.,MEM,2.6,33.6
Jaylen Brown,BOS,4.7,51.8
Jaylen Wells,MEM,2.6,71.8
Jayson Tatum,BOS,2.9,41.8
Jerami Grant,POR,9.2,6.8
Jett Howard,ORL,13.7,11.1
Jimmy Butler III,GSW,2.5,16.1
John Collins,UTA,10.5,86.8
Johnny Juzang,UTA,13.5,43.2
Jonathan Kuminga,GSW,2.5,5
Jordan Clarkson,UTA,7.5,37
Jordan Hawkins,NOP,12.7,24.1
Jordan Poole,WAS,7.5,51.4
Jose Alvarado,NOP,1.7,3.6
Josh Giddey,CHI,1.4,86.2
Josh Green,CHA,7.1,14.5
Jrue Holiday,BOS,2.5,75.9
Julian Champagnie,SAS,4.7,16.1
Julian Strawther,DEN,9.6,45.9
Julius Randle,MIN,2.4,60.3
Justin Champagnie,WAS,3.6,55
Justin Edwards,PHI,2.7,7.7
Karl-Anthony Towns,NYK,3.6,63.6
Kawhi Leonard,LAC,5.5,23.2
Keegan Murray,SAC,4.3,55
Keldon Johnson,SAS,2,94.1
Kelly Olynyk,TOR,5.8,9.1
Kelly Oubre Jr.,PHI,1.2,0.5
Kentavious Caldwell-Pope,ORL,12.2,31.8
Keon Ellis,SAC,1.8,100
Keon Johnson,BKN,2.9,67.4
Kevin Durant,PHX,8.2,74.5
Kevin Huerter,SAC,6.1,21.6
Kevin Huerter,CHI,7.2,10
Keyonte George,UTA,5.2,55
Khris Middleton,WAS,11.3,91.8
Klay Thompson,DAL,14.4,42.7
Kristaps Porziņģis,BOS,3.5,13.2
Kyle Filipowski,UTA,2.8,63
Kyle Kuzma,WAS,3.9,21.6
Kyrie Irving,DAL,3.9,66.4
Kyshawn George,WAS,2.9,7.3
LaMelo Ball,CHA,3.2,59.5
Landry Shamet,NYK,8.1,89
Lauri Markkanen,UTA,17.8,60.9
LeBron James,LAL,2.7,69.1
Lindy Waters III,GSW,13.8,72.3
Lonnie Walker IV,PHI,6,78.6
Luka Dončić,LAL,3.3,98.6
Luka Dončić,DAL,2.5,86.2
Luke Kennard,MEM,7.9,62.3
Malik Beasley,DET,16.7,64.1
Malik Monk,SAC,2.6,99.5
Matas Buzelis,CHI,2.4,90.8
Max Christie,DAL,2.9,55
Max Strus,CLE,9.8,30.5
Michael Porter Jr.,DEN,12.7,37.7
Mikal Bridges,NYK,5.4,61.8
Mike Conley,MIN,5.5,81.8
Miles Bridges,CHA,5.7,10.5
Miles McBride,NYK,4.2,32.9
Moses Moody,GSW,13.5,30
Naz Reid,MIN,9.5,64.5
Nick Smith Jr.,CHA,3.7,13.2
Nickeil Alexander-Walker,MIN,3.1,49.1
Nikola Jokić,DEN,6.1,82.6
Nikola Jović,MIA,2.1,26.3
Nikola Vučević,CHI,3.1,74.1
Noah Clowney,BKN,5.7,32.9
Norman Powell,LAC,9.8,76.8
OG Anunoby,NYK,7.2,31.4
Obi Toppin,IND,1.5,99.1
Ochai Agbaji,TOR,3.4,84.1
P.J. Washington,DAL,1.9,88.2
Paolo Banchero,ORL,2.5,65.9
Pascal Siakam,IND,1.1,8.2
Patrick Williams,CHI,2.6,0
Paul George,PHI,9.4,24.5
Payton Pritchard,BOS,5.5,97.3
Pelle Larsson,MIA,4.7,2.7
Quentin Grimes,PHI,4.4,19.4
Quentin Grimes,DAL,3.9,45.2
Quinten Post,GSW,3.4,70.6
RJ Barrett,TOR,3.3,47.7
Reed Sheppard,HOU,6.4,45.2
Ricky Council IV,PHI,2.6,35
Royce O'Neale,PHX,1.5,73.4
Russell Westbrook,DEN,1.4,4.1
Sam Hauser,BOS,11,50.5
Sam Merrill,CLE,10.8,55
Santi Aldama,MEM,2.6,86.2
Scoot Henderson,POR,1.7,16.1
Scottie Barnes,TOR,2.8,12.7
Seth Curry,CHA,8.7,55
Shaedon Sharpe,POR,5.8,28.2
Shai Gilgeous-Alexander,OKC,1.8,63
Simone Fontecchio,DET,5.7,50
Stephen Curry,GSW,17.1,87.7
Stephon Castle,SAS,1.2,55
Svi Mykhailiuk,UTA,7.6,67.4
Tari Eason,HOU,1.5,55
Taurean Prince,MIL,3.4,89
Terry Rozier,MIA,3.2,41.4
Tidjane Salaün,CHA,3.8,55
Tim Hardaway Jr.,DET,13.1,39.1
Tobias Harris,DET,2.7,93.6
Trae Young,ATL,2.6,44.5
Trendon Watford,BKN,2,9.1
Trey Murphy III,NOP,6.6,36.1
Tristan da Silva,ORL,2.8,5.9
Tyler Herro,MIA,7.7,80
Tyrese Haliburton,IND,3.3,95.5
Tyrese Martin,BKN,5,67.4
Tyrese Maxey,PHI,5.3,89.5
Tyus Jones,PHX,1.9,91.4
Victor Wembanyama,SAS,9.2,49.5
Vít Krejčí,ATL,2.8,26.3
Zaccharie Risacher,ATL,4.5,17.7
Zach LaVine,CHI,3.3,28.9
Zach LaVine,SAC,2.7,92.3
Ziaire Williams,BKN,1.7,70.6
