PLAYER,TEAM,PostFreq%,PostPercentile
,,,
Aaron Gordon,DEN,15.2,41
Adem Bona,PHI,4.7,94.4
Al Horford,BOS,8.4,44.4
Alex Sarr,WAS,2.6,12.5
Alperen Sengun,HOU,20.3,61.8
Andre Drummond,PHI,11.8,38.2
Andrew Wiggins,MIA,10.2,88.9
Andrew Wiggins,GSW,5,50
Anthony Davis,LAL,12.7,36.8
Anthony Davis,DAL,12.4,59
Anthony Edwards,MIN,1.7,25.7
Ausar Thompson,DET,2,73.4
Bam Adebayo,MIA,12.9,22.2
Ben Simmons,BKN,8.9,8.3
Bobby Portis,MIL,23.8,32.6
Brandon Ingram,NOP,7.5,29.9
Brook Lopez,MIL,11.1,43.1
Cade Cunningham,DET,5.5,50
Chet Holmgren,OKC,4.4,3.5
Clint Capela,ATL,4.6,50
Daniel Gafford,DAL,9.9,84
Dario Šarić,DEN,18.2,9.1
Day'Ron Sharpe,BKN,9.4,29.2
De'Aaron Fox,SAC,0.9,7.6
De'Andre Hunter,ATL,3.7,81.9
DeMar DeRozan,SAC,14.3,79.2
Deandre Ayton,POR,9.7,11.1
Deni Avdija,POR,1.8,50
Dereck Lively II,DAL,5.2,97.2
Devin Booker,PHX,2.7,95.8
Dillon Brooks,HOU,7.7,71.5
Domantas Sabonis,SAC,11.5,61.1
Donovan Mitchell,CLE,0.7,78
Draymond Green,GSW,3.1,0.7
Drew Eubanks,UTA,6.8,4.2
Drew Timme,BKN,9.8,4.9
Evan Mobley,CLE,6.5,20.4
Franz Wagner,ORL,6.4,68.1
Giannis Antetokounmpo,MIL,14.9,45.1
Goga Bitadze,ORL,3.2,99.3
Grant Williams,CHA,6,100
Guerschon Yabusele,PHI,10.7,28.5
Harrison Barnes,SAS,6.1,80.6
Isaiah Stewart,DET,7.8,78
Ivica Zubac,LAC,27.9,66
Ja Morant,MEM,1.3,90.9
Jabari Smith Jr.,HOU,6.7,91.7
Jaime Jaquez Jr.,MIA,5.2,15.3
Jakob Poeltl,TOR,7.1,55.6
Jalen Brunson,NYK,3,85.4
Jalen Duren,DET,3.8,89.6
Jalen Johnson,ATL,4.1,5.6
Jamal Murray,DEN,3.8,64.6
James Harden,LAC,0.8,6.3
Jaren Jackson Jr.,MEM,15.4,67.4
Jarrett Allen,CLE,4.2,97.9
Jaylen Brown,BOS,10.1,66.7
Jayson Tatum,BOS,7.3,62.5
Jerami Grant,POR,5.2,43.8
Jeremy Sochan,SAS,3.9,50
Jimmy Butler III,GSW,6,93.8
Jimmy Butler III,MIA,7.2,86.1
Jock Landale,HOU,10,16.1
Joel Embiid,PHI,19.3,82.6
John Collins,UTA,9.8,38.9
Jonas Valančiūnas,WAS,21.9,81.3
Jonas Valančiūnas,SAC,23.1,58.3
Jonathan Isaac,ORL,2.7,20.4
Jonathan Kuminga,GSW,6.9,27.1
Jrue Holiday,BOS,5.6,16.1
Julius Randle,MIN,12.1,75
Jusuf Nurkić,CHA,29.5,50
Jusuf Nurkić,PHX,15.4,24.3
Karl-Anthony Towns,NYK,13.5,50
Karlo Matković,NOP,3.4,17.5
Kawhi Leonard,LAC,7.1,84.7
Kel'el Ware,MIA,3.4,50
Keldon Johnson,SAS,1.2,36.1
Kelly Olynyk,NOP,13.1,69.2
Kelly Olynyk,TOR,6.9,23.1
Kevin Durant,PHX,8.1,34
Kevin Love,MIA,8.6,73.4
Kevon Looney,GSW,4.4,50
Khris Middleton,MIL,11.2,95.1
Khris Middleton,WAS,10.6,65.3
Klay Thompson,DAL,1.8,23.1
Kristaps Porziņģis,BOS,20.8,86.8
Kyle Filipowski,UTA,4.1,70.1
Kyle Kuzma,WAS,4.9,31.9
Kyle Kuzma,MIL,5.1,6.9
Kyrie Irving,DAL,4,79.9
Lauri Markkanen,UTA,3.8,35.4
LeBron James,LAL,12.9,54.9
Luka Dončić,LAL,4.6,74.3
Luka Dončić,DAL,4.5,2.1
Luke Kornet,BOS,3.4,1.4
Mark Williams,CHA,7.5,50
Michael Porter Jr.,DEN,0.9,92.4
Mikal Bridges,NYK,4.3,37.5
Miles Bridges,CHA,1.6,60.4
Moritz Wagner,ORL,7.8,70.8
Moussa Diabaté,CHA,2.8,78
Myles Turner,IND,9.5,56.6
Naz Reid,MIN,6,56.6
Nic Claxton,BKN,5.2,19.4
Nick Richards,CHA,5.3,0
Nikola Jokić,DEN,23,75.7
Nikola Jović,MIA,6.1,50
Nikola Vučević,CHI,15.3,57.6
OG Anunoby,NYK,5.9,34.7
Obi Toppin,IND,4.3,96.5
Onyeka Okongwu,ATL,4.6,88.1
Orlando Robinson,TOR,5.6,14.6
P.J. Washington,DAL,7.7,27.8
Paolo Banchero,ORL,8.4,26.4
Pascal Siakam,IND,18.3,72.2
Patrick Williams,CHI,3.9,10.4
Paul George,PHI,6.2,39.6
Precious Achiuwa,NYK,5.2,18.8
Quinten Post,GSW,5,40.3
RJ Barrett,TOR,1.7,78
Rudy Gobert,MIN,3,20.4
Rui Hachimura,LAL,6.8,41.7
Russell Westbrook,DEN,4,13.2
Sandro Mamukelashvili,SAS,3,99.3
Scottie Barnes,TOR,11.2,33.3
Shai Gilgeous-Alexander,OKC,4.1,69.2
Spencer Dinwiddie,DAL,2.3,88.1
Stephon Castle,SAS,1,50
Steven Adams,HOU,6.8,30.8
Thomas Bryant,IND,4.7,90.9
Tobias Harris,DET,16.8,59.7
Trayce Jackson-Davis,GSW,5.9,11.8
Trendon Watford,BKN,8.8,83.3
Trey Lyles,SAC,3.3,93.1
Tristan Vukcevic,WAS,4.2,2.8
Victor Wembanyama,SAS,10.3,50
Wendell Carter Jr.,ORL,7.2,25
Yves Missi,NOP,2.7,30.8
Zach Collins,CHI,7.9,63.9
Zach Collins,SAS,8.3,9.1
Zach Edey,MEM,15.9,63.2
Zach LaVine,CHI,4.4,13.9
Zach LaVine,SAC,1.6,17.5
Zion Williamson,NOP,11.7,42.4
