PLAYER,TEAM,TransFreq%,TransPercentile
AJ Green,MIL,14.3,86.4
Aaron Gordon,DEN,16.6,92.6
Aaron Holiday,HOU,16.8,9.7
Aaron Nesmith,IND,26.1,94.3
Aaron Wiggins,OKC,23.9,61.4
Adem Bona,PHI,9.4,91.3
Ajay Mitchell,OKC,18.3,13.1
Al Horford,BOS,15.2,37.6
Alec Burks,MIA,13.7,70.3
Alex Caruso,OKC,24.3,60.6
Alex Sarr,WAS,15,7.9
Alperen Sengun,HOU,8.6,14.1
Amen Thompson,HOU,25.5,55.7
Amir Coffey,LAC,33.9,86.1
Andre Drummond,PHI,6,93.3
Andre Jackson Jr.,MIL,23.8,32
Andrew Nembhard,IND,22.3,20.8
Andrew Wiggins,GSW,17.2,69.1
Anfernee Simons,POR,15.5,28
Anthony Black,ORL,19.5,46.9
Anthony Davis,LAL,9.8,84.2
Anthony Edwards,MIN,15.1,67.1
Antonio Reeves,NOP,23.5,53
Ausar Thompson,DET,28.4,28.5
Austin Reaves,LAL,15.7,49.6
Ayo Dosunmu,CHI,31.5,39.6
Bam Adebayo,MIA,11.3,16.6
Baylor Scheierman,BOS,21.9,3.2
Ben Sheppard,IND,33.6,24.8
Ben Simmons,BKN,23.3,6.4
Bennedict Mathurin,IND,25.9,76.2
Bilal Coulibaly,WAS,24.9,45.8
Blake Wesley,SAS,20.8,68
Bobby Portis,MIL,11.1,20.5
Bogdan Bogdanović,ATL,28.5,11.4
Bol Bol,PHX,18.6,94.1
Bones Hyland,LAC,16.1,30.2
Bradley Beal,PHX,14.9,58.2
Brandin Podziemski,GSW,18.2,52
Brandon Clarke,MEM,21.4,90.6
Brandon Ingram,NOP,12.5,20
Brandon Miller,CHA,14,34.4
Brandon Williams,DAL,25.5,79.5
Brice Sensabaugh,UTA,20.3,88.9
Brook Lopez,MIL,6.9,63.8
Bruce Brown,TOR,20.9,53.5
Bub Carrington,WAS,20,25.2
Buddy Hield,GSW,25.3,55.4
CJ McCollum,NOP,18.5,57.4
Cade Cunningham,DET,16.1,19.1
